"TRN","Date of birth","Induction period end date","Number of terms","Outcome","Error message"
"3002586","1977-02-03","2025-02-01","1","fail",""
"3002585","1966-01-02","2025-02-01","2","pass",""
"3002584","1955-11-24","2025-02-01","3","pass",""
"3002583","1977-09-24","2025-02-01","4.5","pass",""
"3002576","1999-03-04","2025-02-01","6.7","pass",""
"3002577","2000-12-02","2025-02-01","0.5","release",""
"3002578","1977-09-10","2025-02-01","8","pass",""
"3002579","2001-08-01","2025-02-01","12","pass",""
"3002580","1955-03-04","2025-02-01","15","pass",""
"3002582","1980-05-11","2025-02-01","0.1","release",""
