TRN,Date of birth,Induction period end date,Number of terms,Outcome
3001348,1993-04-04,2025-03-11,12.3,pass
2600072,1984-10-04,2025-04-12,1.4,fail
3000829,2004-01-28,2025-04-26,7.3,fail
3000902,2000-06-22,2025-05-02,12.7,release
3001199,1999-12-09,2025-04-01,9.9,release
3001426,1991-07-16,2025-04-07,7.1,pass
3001338,1999-01-24,2025-04-09,9.2,fail
3000700,2001-06-25,2025-04-16,13.7,fail
3000900,1991-11-10,2025-04-04,7.6,pass
3000999,2003-07-22,2025-04-29,2.3,pass
3001444,1991-07-16,2025-04-19,9.4,pass
3000491,2002-12-10,2025-03-13,10.3,pass
2600125,1984-09-05,2025-03-10,1.4,release
3000940,2004-02-22,2025-04-12,0.3,fail
3001068,2002-10-23,2025-04-11,9.8,fail
3001012,2000-01-06,2025-04-06,1.2,release
3000985,2002-06-16,2025-04-16,10.9,release
2920882,1980-01-01,2025-03-22,5.4,release
2920923,2000-12-12,2025-03-19,7.8,release
3001071,2001-07-23,2025-04-10,15.8,fail
3001158,2000-06-21,2025-03-22,13.4,release
2908332,1987-09-01,2025-05-06,1.3,release
3001224,2003-11-18,2025-04-18,1.8,release
1000511,1974-12-02,2025-04-29,11.9,release
3000561,1994-09-03,2025-04-27,11.4,release
3001882,1991-07-16,2025-03-11,12.6,release
3000794,1990-05-29,2025-04-29,13.8,pass
3000790,1999-10-20,2025-03-30,12.7,release
3000518,1998-08-08,2025-04-05,11.1,fail
2920961,1990-04-01,2025-03-26,10.8,release
3000796,2000-10-09,2025-04-09,13.9,fail
3000713,1997-05-26,2025-03-15,0.7,release
3002569,1988-11-23,2025-05-05,6.5,release
3001135,1999-04-05,2025-05-04,13.8,pass
1000843,1996-09-01,2025-05-05,4.5,pass
2920994,1981-07-10,2025-03-14,8.9,release
3001499,1940-01-01,2025-05-01,6.1,pass
3000945,2002-12-25,2025-04-02,7.6,pass
3000776,1997-03-21,2025-04-17,12.5,pass
3000881,2004-05-28,2025-04-17,1.2,release
3000532,1995-06-03,2025-04-24,15.0,pass
3001734,1989-06-03,2025-03-20,9.2,fail
3001249,1989-04-13,2025-05-07,6.7,release
2908382,1994-08-18,2025-04-02,0.6,release
3000629,1999-03-14,2025-03-28,7.5,pass
3001744,1993-07-25,2025-03-27,2.2,pass
3001350,1979-10-18,2025-04-13,4.6,fail
3000953,1995-10-31,2025-03-18,0.5,pass
3001389,2002-09-27,2025-04-11,13.5,release
3000568,1975-10-19,2025-03-14,11.1,pass
3001795,1977-02-02,2025-04-08,9.1,pass
3001275,1995-08-06,2025-03-16,7.1,fail
3002567,1980-02-18,2025-04-01,2.7,fail
3001208,1994-10-26,2025-04-16,1.1,release
3000948,2003-07-15,2025-05-05,10.2,pass
3000806,2001-12-11,2025-04-25,13.2,pass
3000037,1970-01-01,2025-03-31,7.7,release
3001004,2002-09-27,2025-04-18,7.3,pass
3000414,1991-07-20,2025-05-02,5.2,pass
1000848,1979-09-05,2025-04-08,9.7,fail
3000916,1993-07-03,2025-04-24,6.8,release
3001155,2000-07-20,2025-04-23,13.4,fail
3001151,2002-04-06,2025-04-04,16.0,pass
3001069,1976-12-01,2025-04-24,12.4,fail
3001122,1991-04-28,2025-04-15,13.7,release
3000903,2002-06-14,2025-04-13,0.8,fail
2908381,1982-08-05,2025-04-25,10.0,fail
3001750,1960-05-10,2025-03-15,13.3,pass
3001551,1980-01-01,2025-04-29,1.6,fail
3001925,1970-01-01,2025-04-30,2.1,fail
2920898,1995-02-10,2025-03-31,12.7,release
3000814,2002-06-15,2025-04-08,9.9,fail
3001260,2003-07-28,2025-03-16,13.1,release
3000651,2004-02-27,2025-04-28,10.2,release
3001064,1995-02-04,2025-04-24,8.7,fail
2908248,1987-03-14,2025-03-24,4.4,pass
3000786,1988-11-07,2025-04-11,11.4,pass
3001459,1991-07-16,2025-04-19,6.8,release
2610529,1992-05-23,2025-03-09,15.3,pass
2908343,1984-09-04,2025-04-16,1.2,pass
2908401,1980-01-01,2025-04-01,15.2,pass
3001186,1983-01-21,2025-03-18,13.6,fail
3000752,1982-09-02,2025-04-23,8.4,pass
3001502,1940-01-01,2025-04-21,15.1,fail
3000740,1986-01-19,2025-03-21,4.9,release
3001242,2000-10-31,2025-03-25,14.4,pass
2921037,1999-01-14,2025-03-22,9.1,pass
3001765,1991-07-20,2025-04-17,1.0,fail
3000863,1993-10-06,2025-03-29,5.7,fail
3000789,1993-07-23,2025-03-19,6.1,release
3000498,2002-06-12,2025-05-01,7.5,release
3000610,2000-07-27,2025-03-15,2.2,pass
3001475,1940-01-01,2025-04-21,14.5,release
2908400,1990-02-14,2025-03-16,12.7,pass
3000995,2002-03-27,2025-03-16,10.6,release
3000653,2000-04-17,2025-04-04,14.1,fail
1000514,1984-03-02,2025-04-28,13.5,fail
3001394,2002-02-02,2025-04-08,13.3,release
3002302,1991-07-20,2025-03-09,9.6,pass
3002552,1995-08-04,2025-05-02,12.0,pass
1000338,1980-01-08,2025-03-12,5.0,pass
3001252,2002-08-15,2025-03-30,12.3,fail
3000468,1998-03-03,2025-03-28,9.5,fail
3000730,1998-07-24,2025-04-21,9.0,release
3001221,1995-01-10,2025-04-16,5.4,release
3001393,2001-10-01,2025-03-26,13.0,pass
3000803,2000-11-15,2025-04-16,3.6,release
2908330,1987-09-01,2025-03-27,4.5,fail
1000504,1991-05-05,2025-05-04,0.6,fail
3001176,2000-02-15,2025-03-10,6.8,pass
3000805,2003-02-15,2025-04-22,8.1,release
2908417,1988-05-28,2025-03-20,12.7,pass
3001157,1997-03-11,2025-05-02,7.5,release
3000442,2001-11-08,2025-04-13,14.0,fail
3000494,2000-06-01,2025-04-26,13.6,release
3000750,2001-01-24,2025-04-23,1.9,pass
3000507,1997-06-16,2025-04-12,5.1,pass
3001321,2002-02-09,2025-03-20,3.3,pass
3001270,1988-06-30,2025-05-05,3.5,pass
3001108,1991-01-09,2025-04-21,15.7,pass
3001742,1991-07-04,2025-04-19,11.6,pass
3001422,1991-07-16,2025-03-12,12.0,pass
3000792,1996-04-17,2025-05-07,1.6,pass
3000767,1988-06-30,2025-05-03,8.9,release
3001164,2001-02-15,2025-04-16,14.3,release
3001241,2000-03-11,2025-03-18,11.2,fail
3000560,1991-11-17,2025-03-14,8.0,pass
1000833,1978-08-06,2025-04-04,0.1,fail
2921022,1985-08-16,2025-04-30,15.7,fail
3000697,2001-12-31,2025-03-31,7.1,fail
3000744,2000-04-20,2025-04-06,3.0,release
1000844,1981-09-01,2025-03-12,10.5,release
3001298,1984-08-26,2025-04-08,15.3,release
3000565,1994-10-10,2025-03-15,1.8,release
3001082,1981-12-26,2025-05-03,9.8,fail
1001102,1994-04-06,2025-04-10,12.1,fail
3001363,1984-09-06,2025-03-23,1.7,pass
3001326,1981-02-13,2025-04-13,10.4,pass
3000905,2001-08-16,2025-05-02,15.0,release
3000490,1988-12-12,2025-03-14,9.1,pass
3001009,2004-06-25,2025-03-31,10.5,release
3000555,1995-01-17,2025-05-06,0.1,pass
2600148,1967-01-22,2025-04-15,14.7,pass
3001131,2001-05-03,2025-03-12,6.9,pass
3000506,1988-10-16,2025-03-15,3.4,pass
3000742,1999-02-21,2025-04-25,10.2,pass
2920892,1968-06-15,2025-04-12,15.1,fail
3000733,2002-03-17,2025-03-14,10.4,fail
3000395,1991-07-20,2025-05-05,2.5,pass
3000811,1999-01-15,2025-04-02,13.0,release
2908299,1973-08-15,2025-03-11,10.0,pass
3000808,1999-03-30,2025-04-30,6.8,pass
3002551,1988-11-24,2025-03-19,9.6,fail
3001889,1991-07-16,2025-03-22,9.0,pass
2635289,1970-01-01,2025-03-19,12.2,pass
3001886,1972-08-06,2025-05-03,10.0,pass
2920920,1971-02-09,2025-04-27,12.0,fail
3000454,2001-06-10,2025-04-22,15.1,fail
3000599,2003-09-22,2025-05-01,4.4,pass
3000802,2000-05-10,2025-04-28,3.1,fail
3000925,1999-12-24,2025-04-29,8.9,pass
3000679,2001-01-27,2025-03-18,7.5,release
3001794,2002-12-01,2025-04-14,6.4,release
